GeneID,GeneName,log2FC,P.Value,adj.P.Value
ENSG00000105926,MPP6,1.11171415,0.040498413,0.220834878
ENSG00000105928,GSDME,-0.426713985,0.434894124,0.740657242
ENSG00000105929,ATP6V0A4,0.826391345,0.393587899,0.692110849
ENSG00000105939,ZC3HAV1,-0.029492079,0.936355531,1
ENSG00000105948,TTC26,0.734790359,0.169345339,0.440557191
ENSG00000105953,OGDH,-1.159064461,0.005303636,0.11089468
ENSG00000105954,NPVF,0,1,1
ENSG00000105963,ADAP1,-0.454757789,0.380868071,0.676476185
ENSG00000105967,TFEC,-0.515753814,0.362313704,0.652838196
ENSG00000105968,H2AFV,-0.275183463,0.389171179,0.686418547
ENSG00000105971,CAV2,-2.55894226,0.000517207,0.037941281
ENSG00000105974,CAV1,-4.264620483,1.04E-07,0.001001181
ENSG00000105976,MET,2.429726207,0.001753969,0.068752625
ENSG00000105982,RNF32,1.378953851,0.020549428,0.177881464
ENSG00000105983,LMBR1,0.078515215,0.798317189,1
ENSG00000105988,NHP2P1,1.417802287,0.105534752,0.341577481
ENSG00000105989,WNT2,-1.000334021,0.121980866,0.375453476
ENSG00000105991,HOXA1,2.237537613,0.007492868,0.126780359
ENSG00000105993,DNAJB6,-0.074515871,0.825492235,1
ENSG00000105996,HOXA2,-0.568023155,0.326046311,0.606646538
ENSG00000105997,HOXA3,0.295912186,0.634414652,0.944803422
ENSG00000106003,LFNG,0.667893228,0.218146011,0.507095782
ENSG00000106004,HOXA5,-2.262380004,0.000425878,0.034505856
ENSG00000106006,HOXA6,-0.923112612,0.278817408,0.560967329
ENSG00000106009,BRAT1,0.29486079,0.496711776,0.805000492
ENSG00000106012,IQCE,0.198893159,0.68706145,0.994968241
ENSG00000106013,ANKRD7,1.043853284,0.303048744,0.576429247
ENSG00000106018,VIPR2,-0.270502225,0.806347589,1
ENSG00000106025,TSPAN12,-1.660617741,0.005020641,0.109428265
ENSG00000106028,SSBP1,0.817345415,0.077414038,0.28749013
ENSG00000106031,HOXA13,6.022392589,0.01423879,0.158747413
ENSG00000106034,CPED1,-2.124992665,0.000137416,0.02004788
ENSG00000106038,EVX1,0.971882259,0.395882305,0.694980102
ENSG00000106049,HIBADH,0.246534422,0.44177097,0.747820699
ENSG00000106052,TAX1BP1,0.141464427,0.646946661,0.956074838
ENSG00000106066,CPVL,-1.493110618,0.012630719,0.152331761
ENSG00000106069,CHN2,0.693592616,0.339430215,0.624251458
ENSG00000106070,GRB10,0.299203434,0.55294564,0.864090958
ENSG00000106077,ABHD11,1.170547715,0.03949204,0.217699332
ENSG00000106078,COBL,-1.329137105,0.038202113,0.215588116
ENSG00000106080,FKBP14,1.352614578,0.016438263,0.165785744
ENSG00000106086,PLEKHA8,1.282495733,0.007268627,0.125760705
ENSG00000106089,STX1A,3.489160099,0.000131343,0.019784853
ENSG00000106100,NOD1,-1.0048858,0.006747932,0.121706467
ENSG00000106105,GARS,0.660915637,0.141186631,0.388821324
ENSG00000106113,CRHR2,1.291531992,0.113186162,0.357653135
ENSG00000106123,EPHB6,-0.746551977,0.338643565,0.623107868
ENSG00000106125,MINDY4,0.365153073,0.466229873,0.77191923
ENSG00000106128,GHRHR,0.189947118,0.860502422,1
ENSG00000106133,NSUN5P2,1.487859429,0.042833496,0.226125356
ENSG00000106144,CASP2,0.11103366,0.757663288,1
ENSG00000106153,CHCHD2,0.499138153,0.42078646,0.723660822
ENSG00000106178,CCL24,-2.448462793,0.030212534,0.200957135
ENSG00000106211,HSPB1,0.63543754,0.353632992,0.642267259
ENSG00000106236,NPTX2,3.01288225,0.01413975,0.15856771
ENSG00000106244,PDAP1,0.045101585,0.912559674,1
ENSG00000106245,BUD31,0.494712314,0.377858207,0.672690821
