# Feature1 Sys. Name	Feature1 Std. Name	Feature2 Sys. Name	Feature2 Std. Name	PE Score	Conf. Score	Direct Score	Indirect Score
YDL207W	GLE1	YOL098C	YOL098C	1.004681	0.056865	2.009361	0
YPR010C	RPA135	YPR115W	YPR115W	1.004681	0.056865	2.009361	0
YFR030W	MET10	YMR012W	CLU1	1.00469	0.056867	-0.309804	0
YAL001C	TFC3	YDR087C	RRP1	1.004751	0.056875	-0.929412	2.938915
YDL136W	RPL35B	YJL191W	RPS14B	1.004771	0.056877	0	0
YJL191W	RPS14B	YOR293W	RPS10A	1.004771	0.056877	0	0
YJL191W	RPS14B	YPL042C	SSN3	1.004771	0.056877	0	0
YBL072C	RPS8A	YGL195W	GCN1	1.004837	0.056873	-0.309804	1.60778
YCR024C-A	PMP1	YLR048W	RPS0B	1.004837	0.056873	-0.309804	0
YDR545W	YRF1-1	YER140W	YER140W	1.00486	0.056872	0	2.00972
YGL031C	RPL24A	YLR185W	RPL37A	1.00486	0.056872	0	2.00972
YKL103C	LAP4	YOL092W	YOL092W	1.00486	0.056872	0	2.00972
YKR050W	TRK2	YOR312C	RPL20B	1.00486	0.056872	0	2.00972
YKR028W	SAP190	YLR259C	HSP60	1.004936	0.056882	-0.309804	0.924988
YBL076C	ILS1	YPR010C	RPA135	1.00494	0.056882	-1.239216	0
YOR096W	RPS7A	YPL093W	NOG1	1.004996	0.05689	-0.309804	1.589408
YDL031W	DBP10	YOR204W	DED1	1.005005	0.056891	-0.309804	0.559866
YCR081W	SRB8	YLR086W	SMC4	1.005014	0.056892	-0.309804	3.160265
YBL087C	RPL23A	YCL054W	SPB1	1.005022	0.056893	0	1.138073
YBR021W	FUR4	YLR197W	SIK1	1.00509	0.056902	-0.929412	0
YBR021W	FUR4	YOR290C	SNF2	1.00509	0.056902	-0.929412	0
YLR249W	YEF3	YMR099C	YMR099C	1.00509	0.056902	-0.929412	0
YDL213C	NOP6	YDR382W	RPP2B	1.005151	0.056911	-0.309804	0.631746
YGR061C	ADE6	YOL086C	ADH1	1.005151	0.056911	1.560476	1.290258
YER162C	RAD4	YGL103W	RPL28	1.005199	0.056917	-0.929412	2.939809
YHR074W	QNS1	YHR089C	GAR1	1.005233	0.056922	-0.929412	2.939878
YBR081C	SPT7	YNR023W	SNF12	1.005243	0.056923	-0.309804	1.062542
YLR107W	REX3	YPL004C	LSP1	1.005308	0.056932	0.765073	1.245543
YIL107C	PFK26	YNL004W	HRB1	1.00533	0.056935	1.429744	1.421349
YER102W	RPS8B	YLR287C	YLR287C	1.005334	0.056935	-0.309804	0
YGR060W	ERG25	YLR075W	RPL10	1.005364	0.056939	0	0
YDR427W	RPN9	YIL173W	VTH1	1.005398	0.056944	-0.929412	2.940209
YHR165C	PRP8	YMR116C	ASC1	1.005408	0.056945	-0.619608	0
YAR010C	YAR010C	YGL035C	MIG1	1.00541	0.056945	2.01082	0
YER062C	HOR2	YKR084C	HBS1	1.00541	0.056945	2.01082	0
YGL173C	KEM1	YOR198C	BFR1	1.005417	0.056946	-1.858824	1.890977
YAL012W	CYS3	YGL113W	SLD3	1.005428	0.056948	2.010857	0
YAL012W	CYS3	YNL166C	BNI5	1.005428	0.056948	2.010857	0
YBL055C	YBL055C	YOR374W	ALD4	1.005428	0.056948	2.010857	0
YBR097W	VPS15	YDR502C	SAM2	1.005428	0.056948	2.010857	0
YBR123C	TFC1	YNR040W	YNR040W	1.005428	0.056948	2.010857	0
YCL035C	GRX1	YFL002C	SPB4	1.005428	0.056948	2.010857	0
YDL146W	LDB17	YGL232W	TAN1	1.005428	0.056948	2.010857	0
YDR121W	DPB4	YDR520C	YDR520C	1.005428	0.056948	2.010857	0
YDR285W	ZIP1	YNL072W	RNH201	1.005428	0.056948	2.010857	0
