Hugo_Symbol	expr.mean
SH3PXD2B	-0.000512817
EPC2	-0.036347349
C20orf85	0.786343629
ATP13A2	0.02884553
KRT4	0.295280654
CAPNS1	0.029144424
MDM2	0.094388634
PCDH20	0.263069013
KCNK9	0.015366545
OR2C1	-0.026220293
KLHDC3	0.064888464
IPPK	-0.035322669
EFHD2	0.056724731
GALR3	-0.009690128
NBEA	-0.231011563
ABCA6	0.11548117
CLDN3	-0.004231572
AKT2	0.040102534
EGFR	0.249159029
RBM16	-0.014186929
ZDHHC3	0.019870567
SLC25A4	-0.153647777
CYB5B	0.042989949
CPXM1	-0.029437386
NDRG1	0.1549297
FLJ43826	0.0475
OR5L2	0.01994428
FARP2	-0.000712249
MRPL46	0.01883042
LDHAL6B	-0.022913627
MAPKAPK3	0.011734932
NCAM2	0.151772395
PRKD2	-0.003268115
ZFP36L1	-0.035401768
CYSLTR1	0.053250305
OR4C3	0.001147931
HIST1H2AJ	0.071521938
CCNB2	0.012319715
ZNF10	-0.041760055
TMEM175	0.013839122
FAM134A	0.001075269
TIGD4	-0.066628885
PCNP	-0.008646252
MGC39715	0.111988572
LQK1	-0.142159506
CREB1	-0.004589122
TMPRSS3	-0.197834095
C4orf32	-0.153857404
LAT	0.114506258
SKIV2L2	-0.020587751
ROPN1B	0.735891682
tcag7.23	0.021725777
CDT1	0.088824726
ZHX2	-0.00684415
CD28	0.033117002
ZNF624	-0.003913163
2-Sep	-0.025279865
SOHLH2	0.117903212
MCOLN3	0.226973207
UNQ1945	0.003590494
MASP2	0.005033821
ZNRF3	0.045747958
GPATCH3	-0.024143053
AGL	0.156941728
QRICH2	-0.001083181
PSD4	-0.048637088
CCNB1IP1	0.037923218
ENPP7	-0.004464048
OBFC1	-0.029596435
KCNG3	0.110264786
C14orf79	-0.064768592
ENPEP	-0.035105177
SCT	0.045588665
SKI	0.029402062
SEC61G	0.03741042
CAPN11	0.113340951
ATXN7L3	-0.01600457
DBNDD1	0.056168174
FAIM	0.023309415
ANKRD36	0.010937843
GABRP	0.232975102
TACSTD2	-0.065208782
EIF3J	0.014199726
PPP2R2A	-0.041784735
TEKT4	-0.026666375
PVALB	0.813158814
F10	0.11793025
FAM134C	0.032876782
COMP	-0.204531536
EFCBP1	0.094622102
SCLT1	0.002211739
TAL1	0.030654459
ACSL1	0.026783364
ABCC5	-0.010974718
ABL1	0.011663612
RBBP7	0.058127144
PTPRG	-0.068844411
NCOR1	0.0113883
SPINK4	0.531271172
TXNRD1	0.008790676
TNRC15	-0.042361974
C9orf138	0.050856448
UBE2H	-0.001365338
BRDT	0.430268925
C8orf31	0.049912554
CCNE2	-0.028511907
SLC6A8	0.049299132
CALCR	0.129655088
PPP1CB	0.036532601
ABHD8	-0.024964808
ARF5	-0.022065448
SLC24A4	0.04617779
CCT3	-0.050193327
ZNF121	0.030111713
SLC3A2	0.040121024
OR13A1	0.030360146
SLC5A10	0.129512035
RAD50	-0.025029022
IER5	0.008823583
MTHFD1L	0.13891979
MBTPS2	0.013848717
MVK	0.03983181
NCL	0.015334186
PSMD10	-0.028313985
MOBP	0.016692009
FLJ32894	
HRH1	-0.002032313
C5orf30	-0.123321755
NUDT16L1	-0.027086654
RASGRP3	0.033352536
PRKRIP1	0.016983547
CCDC75	0.024226691
LOC253970	0.015723799
KIAA1239	0.235209318
MED21	0.050271938
SYT11	-0.000709548
NTSR2	0.057287934
EGFL11	
CXorf59	
OR2A25	-0.013912249
SPTBN2	-0.025711303
LRMP	0.106189243
RNF111	-0.043447898
PTH	
LOC619208	0.018767225
KIAA0895	-0.010843388
RANBP5	0.037436015
P2RY10	0.112593188
NME5	-0.646045269
DDX21	0.017957038
LRSAM1	0.00221755
HDAC11	-0.049929307
VMO1	0.006811243
NOLA2	0.000102998
ADAR	0.008151271
MTO1	-0.01279494
SF4	0.018453388
P2RX1	0.058283048
HBM	0.081254113
EN2	-0.014484461
C14orf172	0.035517367
TM9SF2	-0.017977534
INHBE	0.008740517
TCTE3	0.051154282
TOX2	0.11116362
CTAGE3	0.022625196
HBB	-0.02233579
MED15	0.012993611
CASR	0.003421082
C6orf66	0.084579216
MTPN	0.015076325
UNC50	-0.038563528
C21orf33	0.011981261
IRF2	0.008671618
PGR	-0.032576841
GPR84	0.034078154
CROCCL1	-0.005632998
SRPX	-0.004790676
BRE	-0.012189214
FGF10	0.462999848
SDC3	-0.047132102
ZRSR1	-0.009293135
DKFZP434P211	0.026055203
SOX6	
RPUSD2	-0.020244516
C14orf173	0.026924587
MAPK11	0.04182749
TBC1D22A	-0.005268739
FAM123A	0.051889397
COL4A6	0.212853126
TOMM70A	0.005977148
MGC16385	0.054256399
TSPAN18	0.024874477
MED31	0.026119744
PLG	-0.026225472
CAPSL	0.267680987
ZNF532	-0.022988483
ASB14	-0.006269042
CA8	-0.355569013
NUDT16P	-0.10999498
SLFN11	0.045882998
LRRIQ2	0.00182342
NOL7	0.020155704
BRMS1L	0.028254342
JARID1A	0.031434473
PANK2	-2.19E-05
ICAM3	-0.01470841
MDS1	0.106556219
TAF8	-0.00575655
RNF139	0.042221207
ZNF594	0.031421872
ADAM8	-0.108653108
SFTPC	0.020913051
MAN2B2	-0.10227925
RGS12	-0.005848927
EIF1AY	0.10693317
LRRIQ1	0.013011199
GPR150	-0.047574954
CCDC21	0.032011883
PRRG3	0.087884676
SAA4	0.345425503
RAPGEF5	-0.042994386
ZCCHC2	-0.000685115
MGC39372	0.06280713
PPP4R2	-0.012411934
CDCA2	0.077730106
OR4D5	0.03603377
PTGFRN	-0.029476863
SIGLEC5	-0.063175618
C19orf61	0.023681611
NMUR2	
KIAA1586	0.005513532
DAGLA	-0.045881302
CHCHD6	0.031394881
GPR32	0.003239488
NEUROD6	-0.015498155
SLC2A4RG	0.040649322
CA5B	0.040003656
FBXL3	-0.068999086
MPHOSPH9	0.02904159
HMG2L1	0.035850091
HCN4	-0.051299013
CEACAM19	0.068414534
SH2D4B	0.039515375
HFE2	-0.041064899
TGM4	0.026607876
LYPD2	-0.04041468
TBC1D15	0.004491316
MRPS21	0.006975686
NONO	0.019076417
CLEC5A	0.002962949
ITCH	0.016641316
MGAT3	0.155336002
MBP	-0.023345488
RPP25	0.024751828
SOSTDC1	0.17259415
HRC	0.116479433
TRIM48	0.011792505
TMEM133	0.012305759
ECEL1P2	-0.025593395
HOXC11	-0.02209415
DOK5	0.043369744
HELZ	0.024586188
LOC348180	0.068515539
MGC33894	0.002644881
ADRB3	0.010444241
DMD	0.154675567
PTRH2	0.145516453
MPEG1	-0.040509393
NDUFA12	0.001516137
KRTAP2-4	0.002278346
STAMBPL1	-0.016037097
ADCY2	0.081775684
UNQ6125	-0.010402194
KLHL20	-0.001339556
SRM	0.050237203
OTC	0.0108507
TMIE	0.107874512
SNX8	0.080751828
LIPK	
CHURC1	-0.002105867
KLC2	0.017372951
HDAC1	-0.001914669
FAM128A	0.030110907
FNDC3B	0.084986898
MTCP1	0.041433698
WFDC10B	0.125326091
PCDHGB3	0.016898537
ATRNL1	0.287017267
CAV2	0.105515572
MED26	0.02494668
DUS1L	0.037308501
CHRM3	0.164402651
NEK9	-0.008834095
WARS2	0.036659506
TBX22	
TOMM40	0.032869287
RP6-213H19.1	-0.00376094
TUBGCP5	-0.027845369
IGSF6	-0.082109841
TPPP	0.102796371
UNQ6190	
GSTM5	0.234821985
BTD	-0.094093556
PDCD1LG2	0.104801651
SNRPB2	0.049930841
ERICH1	0.030441728
APOA4	0.016582952
HOXA11	0.007087748
MKX	0.57036106
RAB28	-0.035418572
PKP3	-0.040197441
SH3GL2	0.49752666
CTSO	-0.115536106
RPN2	0.044607267
IL28RA	-0.031343695
SFMBT1	-0.002808501
WDR57	-0.040590037
FER1L3	-0.107572135
HSF5	0.019325627
TTC9B	0.104752894
C4BPA	0.30221834
ALB	0.118554888
SORBS3	-0.02465572
UPF2	0.040704753
JPH1	0.089365631
AGBL2	-0.068126448
DOPEY1	-0.007283364
TERF1	0.043594532
KIF22	0.023183431
NINJ1	-0.087150517
SEC61A2	0.057593748
HIST1H1D	-0.040620651
SFXN4	0.043050503
UCP3	0.037181516
ZNF703	0.05002255
MYL6B	-0.005337294
TREM1	-0.15190128
OR52E6	-0.002567642
CKMT2	0.101269956
HLA-C	0.000300797
SLC13A3	0.155871356
TIMP4	0.303182815
SLIT2	-0.045441651
RSF1	0.105828016
LONRF1	0.005474033
MON1A	0.001724272
CACNG6	0.378895667
DPPA4	-0.007269962
ZSWIM3	-0.000174589
ZNF804A	0.031508163
CCIN	-0.001123706
SLC25A31	0.018687991
KCNMB4	-0.026618373
RABL5	-0.009667505
GALNS	0.080575665
STX6	-0.012437386
HIST1H1C	0.122392748
CIDEB	-0.000559186
CASP4	-0.057376291
PDK3	0.049224803
KCNJ11	-0.033684644
TPR	0.037965722
ZSCAN20	-0.027319013
MTX2	-0.006374771
HIST1H2BH	-0.027164991
LOC283767	0.028186929
LYRM7	-0.019788046
BRD3	-0.020886472
HIST1H2BO	-0.051619287
MAGEB10	-0.012580439
SLC45A1	0.046148691
KIAA0143	0.036240859
KCNJ16	0.553031695
KRT79	0.114295095
FABP2	-0.024377519
NUT	0.054747868
ZNF57	0.013306216
FBXL4	-0.002036411
CLEC9A	0.093844607
UGT8	0.519133338
BMP2K	0.059280165
MAPK4	0.437677026
SLC25A23	-0.008106113
HINT1	-0.018813163
KRTAP13-1	-0.026008227
SFXN5	0.087654115
CHCHD2	0.04587936
FAM3D	0.353277879
NDP	0.531951782
RHOBTB1	0.000649234
SLC4A4	0.342212956
RPL38	0.050965265
HTF9C	0.017585322
AP2A2	-0.034477377
ZBTB46	0.001781536
MAP7D1	-0.00995841
AOX1	0.11244972
CYR61	0.033806561
JRKL	0.011884826
TMOD3	0.027509598
EEA1	-0.009658684
ADCK5	0.068734461
IL1R1	0.00318209
KLK3	0.057770325
HRSP12	0.091502742
KTN1	0.018749543
LOH11CR2A	-0.059653016
RELL2	0.14818053
MAB21L1	0.1761624
C20orf59	0.036284898
PHKB	0.037034278
ADAM2	0.146063991
TBC1D8B	-0.056753993
FAM13A1	0.065149903
LAPTM4B	0.113575261
LCN8	-0.017747715
TMEM147	0.047994516
SYT4	0.172692837
XPO7	0.030655393
C9orf62	-0.140304388
GPR75	0.017377514
TRIM5	-0.058601168
APOC1	0.085658735
PARD6B	0.260006856
ARID1A	-0.004179342
TPD52L3	0.02911581
RRAGB	-0.04438513
RCN2	0.062495121
HIST2H2BE	-0.029818521
STARD7	0.004854662
SHMT2	0.087521938
KIAA1751	0.064936892
MLYCD	0.002640801
LOC162632	0.097217367
UQCRH	0.132332724
RP11-217H1.1	0.019713011
SDHA	0.008331196
NCLN	0.026191408
ZNF17	0.022199461
RCBTB2	-0.014144424
VEGFB	-0.019072923
RP4-747L4.3	0.020572669
COLQ	0.018295322
MPN2	0.00248451
DRG2	0.020334552
KLRB1	-0.227749695
ALPK2	0.024348263
FLJ23834	0.269170801
AXUD1	0.040729439
SAFB	0.012770689
NSUN4	0.01680591
RFX2	-0.034069291
MAPK8IP1	0.052032985
FANCD2	0.066772115
ANKZF1	0.021912543
C19orf50	0.036193099
DUSP8	-0.033475777
SENP5	0.083812157
NFKBIL2	0.009844607
LBR	0.023907417
IGFL1	
LZTS2	0.010261883
IL2RG	0.154040905
CCDC51	-0.016818099
KLF3	-0.015196755
ANKRD37	0.054052102
KCTD14	0.340741375
FZR1	-0.010005192
SLC44A4	-0.933621324
ESPL1	-0.033811439
GMPR2	-0.08386362
TBC1D19	-0.040947899
ERGIC1	-0.02550794
ERBB4	-0.471964878
TSPAN32	0.083236177
MAP4	-0.02559526
GPHN	0.055550731
SLC6A2	0.344410814
HIVEP1	-0.037502285
DFFB	0.034819622
EIF4EBP2	0.043248857
DMRT1	0.254032144
HSPB6	0.091802559
