ORF	GPL51-01 (GSM854) heat shock 05 min	GPL51-02 (GSM855) heat shock 10 min	GPL51-03 (GSM856) heat shock 15 min	GPL51-05 (GSM864) heat shock 20 min repeat	GPL51-06 (GSM865) heat shock 40 min	GPL51-07 (GSM868) heat shock 60 min	GPL51-08 (GSM872) heat shock 80 min
RPL18A	0.0	0.0	-1.502	-1.766	-1.414	0.0	0.0
SMF1	0.0	0.0	0.0	0.0	1.045	0.0	0.0
TRM11	-1.615	-3.477	-5.367	-5.101	-2.355	0.0	0.0
MDH2	0.0	1.203	1.177	1.112	0.0	0.0	0.0
DBP5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RAT1	0	0	0	0	0	0	0
YOR050C	0	0	0.0	0.0	0	0	0
YOR052C	2.595	3.429	2.928	3.124	1.507	1.824	1.902
VHS3	0.0	1.701	1.632	1.664	0.0	1.003	0.0
NOB1	-1.635	-1.938	-3.307	-2.801	-2.135	0.0	0.0
LSC1	0.0	0.0	1.014	1.051	0.0	0.0	0.0
ELG1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YOR146W	-1.708	-2.407	-3.231	-2.681	-1.165	0.0	0.0
SPP2	0.0	0.0	0.0	0.0	0.0	0.0	0
MRPL23	0.0	0.0	0.0	0.0	0.0	0.0	0
YOR152C	0	0	0	0	0	0	0
YOR238W	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABP140	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SSP2	0	0.0	-1.352	0.0	0.0	0.0	0.0
ESA1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YOR246C	0.0	0.0	-1.052	0.0	0.0	0.0	0.0
YOR248W	0.0	0.0	0.0	-1.138	-1.164	0.0	0.0
MRS2	0	0	0	0	0	0	0
KRE5	0	0	0	0	0	0	0
YOR338W	0	0	0	0	0	0	0
RPA43	0	0	0	0	0	0	0
YOR342C	0	0	0	0	0	0	0
TYE7	1.363	0.0	0.0	0.0	0	0.0	0.0
PMA2	0.0	0.0	0.0	0.0	0	0	0.0
MET31	0.0	0.0	-1.029	0.0	-1.592	0.0	0.0
ISM1	0	0	0	0.0	0.0	0.0	0.0
SSN3	0.0	1.172	0	1.037	0.0	0.0	0.0
YPL044C	-1.654	-3.287	-4.106	-2.774	-2.22	0.0	0.0
ELC1	0.0	1.107	0	0.0	0	0.0	0.0
COX11	0.0	0.0	0.0	0.0	0.0	0.0	0
ODC1	0.0	0	1.251	0.0	0	0.0	0
YPL136W	0	0	0	0	0	0	0
SPP1	0.0	0.0	0.0	0.0	0.0	0	0
MKK2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YPL142C	0.0	0.0	-1.892	-1.932	-1.577	0.0	0.0
CET1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
USV1	2.994	3.82	4.974	4.618	2.145	1.822	1.429
SSO1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TFP3	0.0	0.0	0.0	0.0	0.0	0.0	-1.078
YPL236C	0.0	1.016	0.0	0.0	0.0	0.0	0.0
YPL238C	0.0	-1.671	-2.231	-1.665	-1.495	0.0	0.0
TIF5	0.0	-1.592	-1.285	-1.019	0.0	0.0	0.0
RPL43A	0.0	0.0	-1.716	-1.857	-1.661	-1.068	0.0
MNI2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MSF1	0.0	1.661	1.379	1.455	0	0	0.0
ATG11	0	0.0	0.0	0.0	0	0	0.0
MAK3	0.0	0.0	-1.002	0.0	-1.669	0.0	0.0
RRP9	-1.699	-2.23	-2.433	-1.82	-1.287	0.0	0.0
VPS66	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KAR3	0	0.0	0.0	0.0	0.0	0.0	0.0
RRP15	-1.898	-2.688	-3.07	-2.179	-2.174	0.0	0.0
ASN1	0.0	-1.123	-1.038	-1.014	0.0	0.0	0.0
YPR147C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TFC3	0	0.0	0.0	0.0	0.0	0.0	0
ATS1	0	0	0.0	0.0	0.0	0.0	0
GPB2	0	0.0	0.0	0.0	0.0	0	0
YAT1	0.0	0.0	0.0	0	0.0	0.0	0
HIR1	0.0	0.0	0.0	0.0	0.0	0.0	0
EDE1	0.0	0.0	0	0.0	0.0	0.0	0
