Bait,Prey,UniProt,HEKScore,JurkatScore,Score
GP120,CHAF1B,Q13112,0,0.959,0.479
GP120,SERPINH1,P50454,0,0.954,0.477
GP120,HSPH1,Q92598,0,0.947,0.473
GP120,GLT25D1,Q8NBJ5,0,0.934,0.467
GP120,ITGB2,P05107,0,0.919,0.46
GP120,HSPA7,P48741,0.072,0.835,0.453
GP120,MAGT1,Q9H0U3,0,0.907,0.453
GP120,SEH1L,Q96EE3,0,0.904,0.452
GP120,PSMB6,P28072,0.754,0.15,0.452
GP120,EDEM3,Q9BZQ6,0,0.898,0.449
GP120,HSPA6,P17066,0.132,0.762,0.447
GP120,CLGN,O14967,0,0.887,0.444
GP120,DNAJC3,Q13217,0,0.88,0.44
GP120,ITGA4,P13612,0,0.878,0.439
GP120,MOGS,Q13724,0,0.876,0.438
GP120,RNF126,Q9BV68,0,0.847,0.424
GP120,PDIA5,Q14554,0,0.847,0.424
GP120,TMEM43,Q9BTV4,0,0.845,0.423
GP120,TOR1A,O14656,0,0.846,0.423
GP120,HSPA13,P48723,0,0.847,0.423
GP120,DDX6,P26196,0,0.847,0.423
GP120,CASC3,O15234,0,0.847,0.423
GP120,EFEMP1,Q12805,0,0.845,0.422
GP120,FAM195A,Q9BUT9,0,0.842,0.421
GP120,TAB2,Q9NYJ8,0,0.839,0.42
GP120,G3BP2,Q9UN86,0,0.838,0.419
GP120,TOR1AIP2,Q8NFQ8,0,0.839,0.419
GP120,PON2,Q15165,0.828,0,0.414
GP120,SEC61A1,P61619,0,0.822,0.411
GP120,LDLR,P01130,0,0.82,0.41
GP120,HLA-A,P04439,0,0.813,0.407
GP120,ERP44,Q9BS26,0,0.806,0.403
GP120,PSMD7,P51665,0.802,0,0.401
GP120,FAM133B,Q5BKY9,0,0.793,0.397
GP120,P4HA2,O15460,0.794,0,0.397
GP120,G3BP1,Q13283,0,0.784,0.392
GP120,PSMD11,O00231,0.781,0,0.39
GP120,HIST1H3x,P68431,0,0.772,0.386
GP120,EVL,Q9UI08,0,0.765,0.382
GP41,ERLEC1,Q96DZ1,0.886,0.856,0.871
GP41,UGGT1,Q9NYU2,0.769,0.932,0.851
GP41,LMAN1,P49257,0.876,0.827,0.851
GP41,SEL1L,Q9UBV2,0.849,0.835,0.842
GP41,PHB,P35232,0.843,0.835,0.839
GP41,TIMM13,Q9Y5L4,0.701,0.903,0.802
GP41,VDAC1,P21796,0.887,0.712,0.8
